Run	Start Period	Stop Period	Seed	Active Bacterial Transmission Rate	Avoid TBLocations	Bacterial Decay Rate	Bacterial Diffusion Rate	Bacterial Emission Rate	Bacterial Load Infection Threshold	Min Days Clinical Treatmentto Latent	Max Days Clinical Treatmentto Latent	Min Days Clinical Treatmentto Recovered	Max Days Clinical Treatmentto Recovered	House Count	Immune Clearing Factor Base	Immune Clearing HIVNegative Factor	Immune Clearing HIVPositive Factor	Immune Clearing Impoverished Factor	Immune Clearing Malnourished Factor	Immune Clearing Non Smoker Factor	Immune Clearing Not Improvished Factor	Immune Clearing Nourished Factor	Immune Clearing Smoker Factor	Individual Count	Next House ID	Next Work ID	PActive Transition Latent Factor Base	PActive Transition Latent HIVNegative Factor	PActive Transition Latent HIVPositive Factor	PActive Transition Latent Impoverished Factor	PActive Transition Latent Malnourished Factor	PActive Transition Latent Non Smoker Factor	PActive Transition Latent Not Improvished Factor	PActive Transition Latent Nourished Factor	PActive Transition Latent Smoker Factor	PAlways Compliant Category	PDetection	PFemale	PHigh Social Status	PInitial Active	PInitial Impoverished	PInitial Malnourished	PInitial TBPositive	PSometimes Compliant Category	PSomtimes Compliantwill Comply	PTransmission	Pause Period	Periodsin Day	Random Seed	Maximum Seperation	Start Period	Stop Period	TBActive Death Rateper Year	TBAvoidance Threshold	Thread Count	Village Height	Village Width	Work Location Count	Count TBmodel P Initial TB Positive	Minimum TBmodel P Initial TB Positive	Maximum TBmodel P Initial TB Positive	Sum TBmodel P Initial TB Positive	Average TBmodel P Initial TB Positive	Count Houses Population	Count Work Locations Population	Count Individuals Population	Count Individual Suseptible TB Status	Count Individual Latent TB Status	Count Individual Active TB Status	Count Individual Dead TB Status	Count Individual TB Infections Per Lifetime	Minimum Individual TB Infections Per Lifetime	Maximum Individual TB Infections Per Lifetime	Sum Individual TB Infections Per Lifetime	Average Individual TB Infections Per Lifetime	Count Individual Not Infected Treatment Status	Count Individual No Treatment Treatment Status	Count Individual Local Healer Treatment Status	Count Individual Clinical Treatment Treatment Status	Count Individual Non Compliant Clinical Treatment Treatment Status	Count Individual DOTS Treatment Treatment Status	Count Individual Non Compliant DOTS Treatment Treatment Status	Count Individual Days Until Latent	Minimum Individual Days Until Latent	Maximum Individual Days Until Latent	Sum Individual Days Until Latent	Average Individual Days Until Latent	Count Individual Days Until Recovered	Minimum Individual Days Until Recovered	Maximum Individual Days Until Recovered	Sum Individual Days Until Recovered	Average Individual Days Until Recovered	Count Individual Succesful Treatments	Minimum Individual Succesful Treatments	Maximum Individual Succesful Treatments	Sum Individual Succesful Treatments	Average Individual Succesful Treatments	Count Individual HIV Negative HIV Status	Count Individual HIV Positive HIV Status	Count Individual Non Smoker Smoking	Count Individual Smoker Smoking	Count Individual Female Gender	Count Individual Male Gender	Count Individual Age Index	Minimum Individual Age Index	Maximum Individual Age Index	Sum Individual Age Index	Average Individual Age Index	Count Individual Age Range	Minimum Individual Age Range	Maximum Individual Age Range	Sum Individual Age Range	Average Individual Age Range	Count Individual Never Compliant Compliance Behavior	Count Individual Sometimes Compliant Compliance Behavior	Count Individual Always Compliant Compliance Behavior	Count Individual Bacterial Load	Minimum Individual Bacterial Load	Maximum Individual Bacterial Load	Sum Individual Bacterial Load	Average Individual Bacterial Load	Count Individual Nourished Nutrition	Count Individual Malnourished Nutrition	Count Individual Not Improvished Economic Status	Count Individual Impoverished Economic Status	Count Individual Bacterial Clearing Rate	Minimum Individual Bacterial Clearing Rate	Maximum Individual Bacterial Clearing Rate	Sum Individual Bacterial Clearing Rate	Average Individual Bacterial Clearing Rate
1	0	2000	1312757466680	12.0000	0.0000	0.0300	0.2000	0.8000	10.0000	12.0000	16.0000	175.0000	185.0000	100.0000	9.0000	0.0000	-3.0000	-2.0000	-2.0000	0.0000	0.0000	0.0000	-2.0000	1000.0000	100.0000	25.0000	0.0200	0.0000	0.1100	0.0400	0.0400	0.0000	0.0000	0.0000	0.0400	0.7000	0.0500	0.4984	0.0800	0.2000	0.4500	0.0750	0.3000	0.0000	0.8000	0.0010	2.1475E9	24.0000	1.3128E12	100.0000	0.0000	2000.0000	0.2000	0.2500	1.0000	130.0000	100.0000	25.0000	1.0	0.3	0.3	0.3	0.3	100.0	25.0	1000.0	703.0	209.0	40.0	48.0	1000.0	0.0	10.0	1138.0	1.138	703.0	7.0	0.0	99.0	191.0	0.0	0.0	1000.0	-1718.0	16.0	-155194.0	-155.194	1000.0	0.0	185.0	13231.0	13.231	1000.0	0.0	9.0	841.0	0.841	986.0	14.0	935.0	65.0	471.0	529.0	1000.0	0.0	12.0	3852.0	3.852	1000.0	0.0	60.0	19260.0	19.26	327.0	0.0	673.0	1000.0	0.0	12.0	3267.0	3.267	929.0	71.0	520.0	480.0	1000.0	3.0	9.0	7726.0	7.726
2	0	2000	1312757490068	12.0000	0.0000	0.0300	0.2000	0.8000	10.0000	12.0000	16.0000	175.0000	185.0000	100.0000	9.0000	0.0000	-3.0000	-2.0000	-2.0000	0.0000	0.0000	0.0000	-2.0000	1000.0000	200.0000	50.0000	0.0200	0.0000	0.1100	0.0400	0.0400	0.0000	0.0000	0.0000	0.0400	0.7000	0.0500	0.4984	0.0800	0.2000	0.4500	0.0750	0.3000	0.0000	0.8000	0.0010	2.1475E9	24.0000	1.3128E12	100.0000	0.0000	2000.0000	0.2000	0.2500	1.0000	130.0000	100.0000	25.0000	1.0	0.3	0.3	0.3	0.3	100.0	25.0	1000.0	703.0	206.0	45.0	46.0	1000.0	0.0	10.0	1253.0	1.253	703.0	2.0	0.0	141.0	154.0	0.0	0.0	1000.0	-1726.0	16.0	-180026.0	-180.026	1000.0	0.0	185.0	16853.0	16.853	1000.0	0.0	9.0	956.0	0.956	990.0	10.0	940.0	60.0	510.0	490.0	1000.0	0.0	12.0	4085.0	4.085	1000.0	0.0	60.0	20425.0	20.425	271.0	0.0	729.0	1000.0	0.0	12.0	3212.0	3.212	930.0	70.0	558.0	442.0	1000.0	3.0	9.0	7826.0	7.826
3	0	2000	1312757509196	12.0000	0.0000	0.0300	0.2000	0.8000	10.0000	12.0000	16.0000	175.0000	185.0000	100.0000	9.0000	0.0000	-3.0000	-2.0000	-2.0000	0.0000	0.0000	0.0000	-2.0000	1000.0000	300.0000	75.0000	0.0200	0.0000	0.1100	0.0400	0.0400	0.0000	0.0000	0.0000	0.0400	0.7000	0.0500	0.4984	0.0800	0.2000	0.4500	0.0750	0.3000	0.0000	0.8000	0.0010	2.1475E9	24.0000	1.3128E12	100.0000	0.0000	2000.0000	0.2000	0.2500	1.0000	130.0000	100.0000	25.0000	1.0	0.3	0.3	0.3	0.3	100.0	25.0	1000.0	655.0	231.0	52.0	62.0	1000.0	0.0	10.0	1508.0	1.508	655.0	5.0	0.0	151.0	189.0	0.0	0.0	1000.0	-1768.0	16.0	-215511.0	-215.511	1000.0	0.0	185.0	18112.0	18.112	1000.0	0.0	9.0	1163.0	1.163	991.0	9.0	938.0	62.0	465.0	535.0	1000.0	0.0	12.0	3965.0	3.965	1000.0	0.0	60.0	19825.0	19.825	306.0	0.0	694.0	1000.0	0.0	17.0	3824.0	3.824	939.0	61.0	558.0	442.0	1000.0	2.0	9.0	7843.0	7.843
4	0	2000	1312757529166	12.0000	0.0000	0.0300	0.2000	0.8000	10.0000	12.0000	16.0000	175.0000	185.0000	100.0000	9.0000	0.0000	-3.0000	-2.0000	-2.0000	0.0000	0.0000	0.0000	-2.0000	1000.0000	400.0000	100.0000	0.0200	0.0000	0.1100	0.0400	0.0400	0.0000	0.0000	0.0000	0.0400	0.7000	0.0500	0.4984	0.0800	0.2000	0.4500	0.0750	0.3000	0.0000	0.8000	0.0010	2.1475E9	24.0000	1.3128E12	100.0000	0.0000	2000.0000	0.2000	0.2500	1.0000	130.0000	100.0000	25.0000	1.0	0.3	0.3	0.3	0.3	100.0	25.0	1000.0	709.0	205.0	39.0	47.0	1000.0	0.0	9.0	1114.0	1.114	709.0	5.0	0.0	109.0	177.0	0.0	0.0	1000.0	-1574.0	16.0	-153817.0	-153.817	1000.0	0.0	185.0	13373.0	13.373	1000.0	0.0	8.0	823.0	0.823	988.0	12.0	934.0	66.0	503.0	497.0	1000.0	0.0	12.0	4097.0	4.097	1000.0	0.0	60.0	20485.0	20.485	312.0	0.0	688.0	1000.0	0.0	12.0	3136.0	3.136	927.0	73.0	553.0	447.0	1000.0	3.0	9.0	7792.0	7.792
5	0	2000	1312757546707	12.0000	0.0000	0.0300	0.2000	0.8000	10.0000	12.0000	16.0000	175.0000	185.0000	100.0000	9.0000	0.0000	-3.0000	-2.0000	-2.0000	0.0000	0.0000	0.0000	-2.0000	1000.0000	500.0000	125.0000	0.0200	0.0000	0.1100	0.0400	0.0400	0.0000	0.0000	0.0000	0.0400	0.7000	0.0500	0.4984	0.0800	0.2000	0.4500	0.0750	0.3000	0.0000	0.8000	0.0010	2.1475E9	24.0000	1.3128E12	100.0000	0.0000	2000.0000	0.2000	0.2500	1.0000	130.0000	100.0000	25.0000	1.0	0.3	0.3	0.3	0.3	100.0	25.0	1000.0	679.0	224.0	45.0	52.0	1000.0	0.0	10.0	1222.0	1.222	679.0	14.0	0.0	113.0	194.0	0.0	0.0	1000.0	-1777.0	16.0	-166044.0	-166.044	1000.0	0.0	185.0	14264.0	14.264	1000.0	0.0	9.0	901.0	0.901	984.0	16.0	949.0	51.0	499.0	501.0	1000.0	0.0	12.0	4022.0	4.022	1000.0	0.0	60.0	20110.0	20.11	316.0	0.0	684.0	1000.0	0.0	17.0	3569.0	3.569	929.0	71.0	554.0	446.0	1000.0	2.0	9.0	7816.0	7.816
6	0	2000	1312757565164	12.0000	0.0000	0.0300	0.2000	0.8000	10.0000	12.0000	16.0000	175.0000	185.0000	100.0000	9.0000	0.0000	-3.0000	-2.0000	-2.0000	0.0000	0.0000	0.0000	-2.0000	1000.0000	600.0000	150.0000	0.0200	0.0000	0.1100	0.0400	0.0400	0.0000	0.0000	0.0000	0.0400	0.7000	0.0500	0.4984	0.0800	0.2000	0.4500	0.0750	0.3000	0.0000	0.8000	0.0010	2.1475E9	24.0000	1.3128E12	100.0000	0.0000	2000.0000	0.2000	0.2500	1.0000	130.0000	100.0000	25.0000	1.0	0.3	0.3	0.3	0.3	100.0	25.0	1000.0	726.0	185.0	38.0	51.0	1000.0	0.0	11.0	1282.0	1.282	726.0	6.0	0.0	110.0	158.0	0.0	0.0	1000.0	-1800.0	16.0	-186440.0	-186.44	1000.0	0.0	185.0	13715.0	13.715	1000.0	0.0	10.0	1008.0	1.008	990.0	10.0	952.0	48.0	511.0	489.0	1000.0	0.0	12.0	3878.0	3.878	1000.0	0.0	60.0	19390.0	19.39	278.0	0.0	722.0	1000.0	0.0	18.0	2938.0	2.938	936.0	64.0	546.0	454.0	1000.0	3.0	9.0	7838.0	7.838
7	0	2000	1312757583226	12.0000	0.0000	0.0300	0.2000	0.8000	10.0000	12.0000	16.0000	175.0000	185.0000	100.0000	9.0000	0.0000	-3.0000	-2.0000	-2.0000	0.0000	0.0000	0.0000	-2.0000	1000.0000	700.0000	175.0000	0.0200	0.0000	0.1100	0.0400	0.0400	0.0000	0.0000	0.0000	0.0400	0.7000	0.0500	0.4984	0.0800	0.2000	0.4500	0.0750	0.3000	0.0000	0.8000	0.0010	2.1475E9	24.0000	1.3128E12	100.0000	0.0000	2000.0000	0.2000	0.2500	1.0000	130.0000	100.0000	25.0000	1.0	0.3	0.3	0.3	0.3	100.0	25.0	1000.0	728.0	186.0	40.0	46.0	1000.0	0.0	10.0	1212.0	1.212	728.0	7.0	0.0	102.0	163.0	0.0	0.0	1000.0	-1728.0	16.0	-173100.0	-173.1	1000.0	0.0	185.0	13162.0	13.162	1000.0	0.0	9.0	940.0	0.94	988.0	12.0	941.0	59.0	500.0	500.0	1000.0	0.0	12.0	3820.0	3.82	1000.0	0.0	60.0	19100.0	19.1	272.0	0.0	728.0	1000.0	0.0	15.0	3008.0	3.008	919.0	81.0	549.0	451.0	1000.0	2.0	9.0	7782.0	7.782
8	0	2000	1312757600718	12.0000	0.0000	0.0300	0.2000	0.8000	10.0000	12.0000	16.0000	175.0000	185.0000	100.0000	9.0000	0.0000	-3.0000	-2.0000	-2.0000	0.0000	0.0000	0.0000	-2.0000	1000.0000	800.0000	200.0000	0.0200	0.0000	0.1100	0.0400	0.0400	0.0000	0.0000	0.0000	0.0400	0.7000	0.0500	0.4984	0.0800	0.2000	0.4500	0.0750	0.3000	0.0000	0.8000	0.0010	2.1475E9	24.0000	1.3128E12	100.0000	0.0000	2000.0000	0.2000	0.2500	1.0000	130.0000	100.0000	25.0000	1.0	0.3	0.3	0.3	0.3	100.0	25.0	1000.0	720.0	182.0	35.0	63.0	1000.0	0.0	10.0	1182.0	1.182	720.0	7.0	0.0	96.0	177.0	0.0	0.0	1000.0	-1688.0	16.0	-164086.0	-164.086	1000.0	0.0	185.0	13551.0	13.551	1000.0	0.0	9.0	902.0	0.902	994.0	6.0	945.0	55.0	508.0	492.0	1000.0	0.0	12.0	3833.0	3.833	1000.0	0.0	60.0	19165.0	19.165	287.0	0.0	713.0	1000.0	0.0	12.0	3017.0	3.017	927.0	73.0	552.0	448.0	1000.0	2.0	9.0	7830.0	7.83
9	0	2000	1312757623446	12.0000	0.0000	0.0300	0.2000	0.8000	10.0000	12.0000	16.0000	175.0000	185.0000	100.0000	9.0000	0.0000	-3.0000	-2.0000	-2.0000	0.0000	0.0000	0.0000	-2.0000	1000.0000	900.0000	225.0000	0.0200	0.0000	0.1100	0.0400	0.0400	0.0000	0.0000	0.0000	0.0400	0.7000	0.0500	0.4984	0.0800	0.2000	0.4500	0.0750	0.3000	0.0000	0.8000	0.0010	2.1475E9	24.0000	1.3128E12	100.0000	0.0000	2000.0000	0.2000	0.2500	1.0000	130.0000	100.0000	25.0000	1.0	0.3	0.3	0.3	0.3	100.0	25.0	1000.0	729.0	184.0	38.0	49.0	1000.0	0.0	9.0	1087.0	1.087	729.0	10.0	0.0	92.0	169.0	0.0	0.0	1000.0	-1622.0	16.0	-150620.0	-150.62	1000.0	0.0	185.0	11863.0	11.863	1000.0	0.0	9.0	816.0	0.816	994.0	6.0	946.0	54.0	510.0	490.0	1000.0	0.0	12.0	3812.0	3.812	1000.0	0.0	60.0	19060.0	19.06	323.0	0.0	677.0	1000.0	0.0	15.0	2958.0	2.958	916.0	84.0	554.0	446.0	1000.0	2.0	9.0	7814.0	7.814
10	0	2000	1312757646126	12.0000	0.0000	0.0300	0.2000	0.8000	10.0000	12.0000	16.0000	175.0000	185.0000	100.0000	9.0000	0.0000	-3.0000	-2.0000	-2.0000	0.0000	0.0000	0.0000	-2.0000	1000.0000	1000.0000	250.0000	0.0200	0.0000	0.1100	0.0400	0.0400	0.0000	0.0000	0.0000	0.0400	0.7000	0.0500	0.4984	0.0800	0.2000	0.4500	0.0750	0.3000	0.0000	0.8000	0.0010	2.1475E9	24.0000	1.3128E12	100.0000	0.0000	2000.0000	0.2000	0.2500	1.0000	130.0000	100.0000	25.0000	1.0	0.3	0.3	0.3	0.3	100.0	25.0	1000.0	738.0	166.0	34.0	62.0	1000.0	0.0	10.0	1231.0	1.231	738.0	6.0	0.0	100.0	156.0	0.0	0.0	1000.0	-1803.0	16.0	-177555.0	-177.555	1000.0	0.0	185.0	13892.0	13.892	1000.0	0.0	9.0	969.0	0.969	988.0	12.0	945.0	55.0	483.0	517.0	1000.0	0.0	12.0	3832.0	3.832	1000.0	0.0	60.0	19160.0	19.16	289.0	0.0	711.0	1000.0	0.0	17.0	2944.0	2.944	904.0	96.0	548.0	452.0	1000.0	0.0	9.0	7758.0	7.758
